"automatic_water_benchmarking_eligible","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","community_council","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identificaiton_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"Yes","1-00506-7501","1007825","Manhattan","37",,"2","3","779.1","Filed","1","311477","75","1585.2","40.726615","-74.005617","13.19","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005067501","Office","504","1007825","299994","ABS","99.5","238.8","VARICK STREET","160","2364.3","Not Available","Not Available","10013"
"No","1-01003-7501",,"Manhattan",,,,,"2439.9","Filed","1","526729","Not Available","1987.3",,,"Not Available",,"1010037501","Multifamily Housing","1953","1022710","450162","Manual","128.5","245.6","7 AVENUE","76179","4427.2","128.2","245.5","10019"
"No","1-00506-0027","1007832","Manhattan","37",,"2","3","1020.2","Filed","1","172836","Not Available","259.1","40.72698","-74.003763","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005060027","Multifamily Housing","503","1007832","202793","None","82.5","116.7","CHARLTON STREET","2","1279.3","82.1","116.4","10014"
"Yes","1-00508-7502","1007888","Manhattan","43",,"2","1","56.2","Filed","1","62755","Not Available","143.8","40.723692","-73.99461","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005087502","Multifamily Housing","506","1007888","62755","None","45","106.1","MOTT STREET","262","200","44.7","105.3","10012"
"No","1-00508-0025","1007894","Manhattan","43",,"2","1","297.5","Filed","1","92088","Not Available","270.8","40.724543","-73.993787","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005080025","Multifamily Housing","505","1007894","85088","None","105","192","EAST HOUSTON STREET","65","568.3","104.1","190","10012"
"Yes","1005100001","1007929","Manhattan","43",,"2","1","316.7","Filed","1","169961","81","628.4","40.723769","-73.996652","18.53","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005100001","Office","507","1007929","178459","ABS","76.7","171","PRINCE STREET","63","945.1","75.6","169.8","10012"
"N/A","1-00510-0006",,"Manhattan",,,,,"171.4","Not on Covered Buildings List",,,"Not Available","112.4",,,"Not Available",,"1005100006","Multifamily Housing","14875","1007930","85554","None","45.1","80.2",,,"283.8","45.1","80.3",
"N/A","1-00510-7501",,"Manhattan",,,,,"264.2","Not on Covered Buildings List",,,"Not Available","423.2",,,"Not Available",,"1005107501","Multifamily Housing","14876","1007931","110925","None","79.6","180.4",,,"687.4","79.3","179.2",
"N/A","1-00510-7502",,"Manhattan",,,,,"288.7","Not on Covered Buildings List",,,"80","856.9",,,"Not Available",,"1005107502","Office","14877","1007941","242022","None","60.2","153.6",,,"1145.6","60","152.9",
"No","1005110001","1007942","Manhattan","43",,"2","1","405.6","Filed","1","286250","67","1844.3","40.72409","-73.99742","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005110001","Office","508","1007942","353419","None","79.4","216.8","PRINCE STREET","75","2249.9","79.4","217","10012"
"Yes","1-00511-0006","1007943","Manhattan","43",,"2","1","232.6","Filed","1","127597","92","452.6","40.724658","-73.997413","17.09","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005110006","Office","509","1007943","161721","ABS","53.5","127.3","BROADWAY","580","685.2","53.1","126.3","10012"
"No","1005110015","1007945","Manhattan","43",,"2","1","41.6","Filed","1","64120","88","312.8","40.725045","-73.997085","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005110015","Office","512","1007945","78616","None","56.8","161.6","BROADWAY","598","354.4","Not Available","Not Available","10012"
"Yes","1005110016","1007946","Manhattan","43",,"2","1","249.2","Filed","1","65192","4","751.3","40.725089","-73.997049","50.28","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005110016","Office","514","1007946","74970","ABS","185.8","452.5","BROADWAY","600","1000.5","185.1","451.8","10012"
"Yes","1-00512-0020","1007953","Manhattan","49",,"2","1","151.5","Filed","1","68800","Not Available","167.6","40.724612","-73.997478","19.53","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005120020","Multifamily Housing","515","1007953","112342","ABS","36.5","76","BROADWAY","579","319.1","36.3","75.6","10012"
"Yes","1005127501","1007955","Manhattan","49",,"2","1","209","Filed","1","121453","Not Available","606.6","40.724694","-73.99741","15.19","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005127501","Multifamily Housing","517","1007955","134748","ABS","84.6","204.4","BROADWAY","583","815.6","84","203.8","10012"
"No","1-00512-7502","1007956","Manhattan","49",,"2","1","351","Filed","1","224409","76","450.9","40.725021","-73.997132","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005127502","Office","518","1007956","130000","None","78.5","170.1","BROADWAY","599","801.9","76.6","167.3","10012"
"No","1-00513-0035","1007983","Manhattan","49",,"2","1","177.9","Filed","1","67452","3","363.9","40.724697","-73.998694","273.8","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005130035","Hotel","519","1007983","67452","Manual","116","260.4","PRINCE STREET","93","541.8","115.3","259.9","10012"
"Yes","1-00515-7502","1008013","Manhattan","49",,"2","1","76.8","Filed","1","52459","Not Available","160","40.726044","-73.999553","18.25","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005157502","Multifamily Housing","522","1008013","71837","ABS","47.5","107.1","WOOSTER STREET","149","236.8","47.4","107","10012"
"Yes","1-00515-0031","1008015","Manhattan","49",,"2","1","130.7","Filed","1","54600","Not Available","102.3","40.725825","-73.99974","22.67","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005150031","Multifamily Housing","521","1008015","62100","ABS","59.9","105.2","WOOSTER STREET","141","233","59.7","105","10012"
"Yes","1-00516-0007","1008024","Manhattan","49",,"2","1",,"Filed","1","86018","Not Available",,"40.726643","-74.001151","20.77","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005160007","Multifamily Housing","523","1008024","86018","ABS",,,"THOMPSON STREET","140",,"Not Available","Not Available","10012"
"No","1005760046","1009620","Manhattan","63",,"2","3","3056.8","Filed","1","113500","2","714.5","40.734773","-73.994523","Not Available","West Village                                                               ","1005760046","Office","695","1009620","125445","None","529.2","701.9","5 AVENUE","60","3771.3","525.3","698","10011"
"No","1-00516-0026","1008028","Manhattan","49",,"2","1","113.8","Filed","1","51925","Not Available","39","40.726492","-74.000303","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005160026","Multifamily Housing","524","1008028","62486","None","42","60.1","WEST BROADWAY","474","152.8","41.7","59.8","10012"
"Yes","1005190070","1008117","Manhattan","37",,"2","3","459.6","Filed","1","329116","84","1387.7","40.72748","-74.00548","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005190070","Office","525","1008117","370000","None","63.2","162.1","VARICK STREET","180","1847.3","Not Available","Not Available","10014"
"N/A","1014590022",,"Manhattan",,,,,"3385","Not on Covered Buildings List",,,"Not Available","83.2",,,"Not Available",,"1014590022","Multifamily Housing","15165","1078403;1078404","98964","None","465","491.8",,,"3468.2","Not Available","Not Available",
"No","1005200001","1008118","Manhattan","37",,"2","3","1154.2","Filed","1","436629","71","2016.9","40.728347","-74.005343","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005200001","Office","526","1008118","420972","Manual","97","223.7","VARICK STREET","200","3171.1","Not Available","Not Available","10014"
"No","1005220008","1008211","Manhattan","5502",,"2","1","6602","Filed","1","66500","1","323.1","40.726086","-73.996205","Not Available","West Village                                                               ","1005220008","Office","531","1008211","88160","None","1456.1","1623.1","BROADWAY","628","6925.1","Not Available","Not Available","10012"
"No","1005220010","1008212","Manhattan","5502",,"2","1","398.7","Filed","1","150603","38","750.4","40.726165","-73.996136","Not Available","West Village                                                               ","1005220010","Office","532","1008212","139780","None","119.7","263.6","BROADWAY","632","1149.1","Not Available","Not Available","10012"
"No","1005220012","1008213","Manhattan","5502",,"2","1","467.2","Filed","1","131743","79","335.8","40.726247","-73.996067","Not Available","West Village                                                               ","1005220012","Office","533","1008213","130000","None","86.3","155.7","BROADWAY","636","803","Not Available","Not Available","10012"
"N/A","1-00523-0032",,"Manhattan",,,,,"178.1","Not on Covered Buildings List",,,"Not Available","122.3",,,"Not Available",,"1005230032","Multifamily Housing","14878","1008235;1086635","52000","None","93.4","158.5",,,"300.4","92.7","157.5",
"No","1005230038","1008236","Manhattan","5501",,"2","1","311.3","Filed","1","82483","Not Available","187.6","40.726824","-73.996461","Not Available","West Village                                                               ","1005230038","Multifamily Housing","534","1008236","86607","None","94.3","154.7","BLEECKER STREET","88","498.9","93.6","153.6","10012"
"No","1-00523-0038","1008236","Manhattan","5501",,"2","1","311.3","Filed","1","82483","Not Available","187.6","40.726824","-73.996461","Not Available","West Village                                                               ","1005230038","Multifamily Housing","535","1008236","86607","None","94.3","154.7","BLEECKER STREET","88","498.9","93.6","153.6","10012"
"No","1005230044","1008237","Manhattan","5501",,"2","1","586.2","Filed","1","104500","Not Available","536.4","40.726058","-73.996255","Not Available","West Village                                                               ","1005230044","Office","536","1008237","120000","None","147","269.1","BROADWAY","627","1122.6","Not Available","Not Available","10012"
"No","1-00523-0048","1008240","Manhattan","5501",,"2","1","638.6","Filed","1","204920","94","490.8","40.725751","-73.997478","Not Available","West Village                                                               ","1005230048","Office","537","1008240","227688","None","64","121","WEST HOUSTON STREET","18","1129.4","63.7","120.9","10012"
"No","1005240066","1008243","Manhattan","5501",,"2","1","0","Filed","1","569909","Not Available","698","40.727153","-73.997124","Not Available","West Village                                                               ","1005240066","Other - Recreation","538","1008243","177109","None","48.4","152.1","BLEECKER STREET","100","698","48.4","152.1","10012"
"N/A","1005250040",,"Manhattan",,,,,,"Not on Covered Buildings List",,,"Not Available",,,,"62.61",,"1005250040","Multifamily Housing","14879","1008265","31500","None",,,,,,"Not Available","Not Available",
"No","1-00525-7506","1008266","Manhattan","65",,"2","1","329.5","Filed","1","97248","Not Available","207.1","40.727988","-74.000032","Not Available","West Village                                                               ","1005257506","Multifamily Housing","541","1008266","98626","None","88.8","147.2","THOMPSON STREET","184","536.6","88.2","146.1","10012"
"No","1-00527-0027","1008350","Manhattan","67",,"2","3","338.8","Filed","1","118467","Not Available","336.7","40.729596","-74.002825","Not Available","West Village                                                               ","1005270027","Multifamily Housing","542","1008350","121476","None","85.6","161","DOWNING STREET","10","675.5","85.3","160.6","10014"
"Yes","1005280001","1008380","Manhattan","67",,"2","3","550.5","Filed","1","71490","Not Available","141","40.728441","-74.003511","Not Available","West Village                                                               ","1005280001","Multifamily Housing","543","1008351","71480","None","127.8","180.9","WEST HOUSTON STREET","182","691.5","127.8","180.9","10014"
"Yes","1-00529-0001","1008418","Manhattan","5502",,"2","1","365.7","Filed","1","55065","Not Available","135.8","40.726626","-73.99575","25.9","West Village                                                               ","1005290001","Multifamily Housing","547","1008418","62565","ABS","107.8","166","BROADWAY","644","501.5","106.2","164","10012"
"N/A","1009040010",,"Manhattan",,,,,,"Not on Covered Buildings List",,,"Not Available",,,,"Not Available",,"1009040010","Residence Hall/Dormitory","14988","1019771","72815","None",,,,,,"Not Available","Not Available",
"No","1-00529-7504","1008423","Manhattan","5502",,"2","1","145.2","Filed","1","50388","Not Available","236.7","40.726887","-73.994646","Not Available","West Village                                                               ","1005297504","Retail Store","549","1008423","53047","None","106.4","226.4","BOND STREET","1","381.9","105.1","225","10012"
"Yes","1005290072","1008454","Manhattan","5502",,"2","1","347.9","Filed","1","104775","81","411.9","40.726204","-73.995173","12.54","West Village                                                               ","1005290072","Office","548","1008454","109857","None","88.1","187.1","BLEECKER STREET","65","759.8","86.8","186","10012"
"No","1-00530-0001","1008467","Manhattan","5502",,"2","1","225.4","Filed","1","53000","Not Available","124.4","40.727299","-73.995183","0","West Village                                                               ","1005300001","Office","551","1008467","68450","None","66.7","115","BROADWAY","670","349.8","Not Available","Not Available","10012"
"Yes","1005307505","1008495","Manhattan","5502",,"2","1","202.2","Filed","1","85000","Not Available","243.1","40.726165","-73.993127","53.08","West Village                                                               ","1005307505","Multifamily Housing","552","1008495","83200","ABS","81.7","160.8","BOND STREET","40","445.3","80.9","159.2","10012"
"Yes","1-00531-0001","1008506","Manhattan","5502",,"2","1","434.7","Filed","1","59248","Not Available","93.1","40.727905","-73.994667","23.64","West Village                                                               ","1005310001","Multifamily Housing","553","1008506","65011","ABS","106.8","145.4","BROADWAY","684","527.8","106.2","144.8","10012"
"N/A","1005317504",,"Manhattan",,,,,"0","Not on Covered Buildings List",,,"Not Available",,,,"Not Available",,"1005317504","Office","14880","1008509","47324","None",,,,,,"Not Available","Not Available",
"No","1-00531-7501","1008529","Manhattan","5502",,"2","1","399.7","Filed","1","182605","Not Available","22.5","40.72807","-73.993578","Not Available","West Village                                                               ","1005317501","Multifamily Housing","555","1008529","188889","None","41.3","46.5","EAST    4 STREET","14","422.2","41.1","46.2","10012"
"No","1005350008","1008626","Manhattan","5501",,"2","1","1.6","Filed","1","470400","Not Available",,"40.729451","-73.997756","Not Available","West Village                                                               ","1005350008","Library","565","1008626","505205","None",,,"LA GUARDIA PLACE","567",,"Not Available","Not Available","10012"
"No","1005350036","1008627","Manhattan","5501",,"2","1","88264.6","Filed","1","119170","Not Available","0","40.728347","-73.995898","Not Available","West Village                                                               ","1005350036","College/University","566","1008627","158590","None","10208.8","10691.4","WEST    3 STREET","17","88264.6","10208.8","10691.4","10012"
"Yes","1-00535-7501","1008629","Manhattan","5501",,"2","1","1407.8","Filed","1","323092","Not Available","767","40.728745","-73.994945","14.67","West Village                                                               ","1005357501","Multifamily Housing","567","1008629","346000","ABS","81.2","140.1","WEST    4 STREET","14","2174.8","80.8","139.2","10012"
"No","1005380040","1008662","Manhattan","65",,"2","1","86.3","Filed","1","232930","Not Available","500.6","40.729409","-73.997817","Not Available","West Village                                                               ","1005380040","Social/Meeting Hall","568","1008662","247639","None","31.4","84.9","LA GUARDIA PLACE","566","586.9","31.4","84.9","10012"
"Yes","1-00539-0031","1008680","Manhattan","65",,"2","1","179.8","Filed","1","55800","Not Available","128","40.728852","-73.999325","Not Available","West Village                                                               ","1005390031","Multifamily Housing","569","1008680","65100","None","76.2","130.5","THOMPSON STREET","211","307.8","75.9","130.2","10012"
"No","1-00540-0030","1008707","Manhattan","65",,"2","1","11.5","Filed","1","54238","Not Available","176","40.729248","-74.000065","Not Available","West Village                                                               ","1005400030","Office","572","1008707","Not Available","Manual",,,"SULLIVAN STREET","214","187.5","Not Available","Not Available","10012"
"No","1005410001","1008716","Manhattan","65",,"2","1","0","Filed","1","202521","Not Available",,"40.73098","-73.999495","Not Available","West Village                                                               ","1005410001","Library","573","1008716","257259","None",,,"WASHINGTON SQUARE S","40",,"Not Available","Not Available","10012"
"Yes","1005420025","1008725","Manhattan","65",,"2","1","324.3","Filed","1","54924","Not Available","67.9","40.730162","-74.001916","Not Available","West Village                                                               ","1005420025","Multifamily Housing","576","1008725","54914","None","94.6","128","AVENUE OF THE AMER","290","392.2","94.6","128","10014"
"N/A","1-00544-0008",,"Manhattan",,,,,"95.4","Not on Covered Buildings List",,,"62","359.8",,,"Not Available",,"1005440008","Office","14881","1008771","85260","None","73","185",,,"455.2","Not Available","Not Available",
"N/A","1-00544-0013","1008773","Manhattan","57",,"2","2","114.5","Filed","1","57729","96","143.6","40.728789","-73.992344","Not Available","West Village                                                               ","1005440013","Office","578","1008773","73500","None","45.6","97.3","LAFAYETTE STREET    ","419","258.1","Not Available","Not Available","10003"
"Yes","1-00544-7501","1008776","Manhattan","57",,"2","2","372.9","Filed","3","121158","Not Available","455.4","40.728899","-73.991023","30","West Village                                                               ","1005447501","Multifamily Housing","583","1008776","121158","ABS","104.2","205.9","COOPER SQUARE","56","828.3","103.9","205.8","10003"
"No","1005440048","1008779","Manhattan","57",,"2","2","124.3","Filed","1","52192","66","226.8","40.72804","-73.991294","9.57","West Village                                                               ","1005440048","Office","579","1008779","57450","Manual","77.7","181.8","COOPER SQUARE","30","351.1","77.4","181.6","10003"
"Yes","1005440050","1008780","Manhattan","57",,"2","2","536.9","Filed","1","117391","Not Available",,"40.727592","-73.991373","Not Available","West Village                                                               ","1005440050","College/University","580","1008780","137314","None",,,"COOPER SQUARE","16",,"Not Available","Not Available","10003"
"No","1005440076","1008788","Manhattan","38",,"3","2","461.7","Filed","1","125000","Not Available","593.3","40.728857","-73.990161","Not Available","East Village                                                               ","1005440076","College/University","582","1008788","179000","None","89.3","178.9","EAST    7 STREET","7","1055","88.8","178.4","10003"
"Yes","1-00545-7502","1008790","Manhattan","57",,"2","2","337","Filed","1","56237","Not Available","119.7","40.728682","-73.994011","12.39","West Village                                                               ","1005457502","Multifamily Housing","591","1008790","61237","ABS","100.6","153.2","BROADWAY","704","456.7","99.6","151.7","10003"
"Yes","1-00545-0011","1008793","Manhattan","57",,"2","2","358.7","Filed","1","75165","Not Available","147.3","40.729146","-73.993617","20.53","West Village                                                               ","1005450011","Multifamily Housing","585","1008793","79900","ABS","83.7","132.9","BROADWAY","718","506","82.1","130.9","10003"
"Yes","1005450015","1008796","Manhattan","57",,"2","2","495.6","Filed","1","326464","Not Available",,"40.729376","-73.993423","11.35","West Village                                                               ","1005450015","College/University","586","1008796","415725","ABS",,,"BROADWAY","726",,"Not Available","Not Available","10003"
"No","1-00545-0059","1008806","Manhattan","57",,"2","2","642.7","Filed","1","147773","Not Available","572.2","40.730419","-73.992542","Not Available","West Village                                                               ","1005450059","Multifamily Housing","590","1008806","90000","None","212.7","386.7","BROADWAY","752","1214.9","211.9","385.8","10003"
"No","1-00545-7503","1008807","Manhattan","57",,"2","2","148.5","Filed","1","107754","Not Available","262.2","40.729991","-73.992221","Not Available","West Village                                                               ","1005457503","Multifamily Housing","592","1008807","100000","None","60.2","130.6","ASTOR PLACE","21","410.7","60","130.5","10003"
"No","4-00439-0039",,"Queens",,,,,"241.8","Filed","1","65000","Not Available","123.9",,,"Not Available",,"4004390039","Mixed Use Property","9921","4005192","65000","None","72.8","123.5","23 STREET","44-02","365.7","72.8","123.5","11101"
"No","1005460011","1008811","Manhattan","59",,"2","1","28.2","Filed","1","125450","Not Available","0","40.729245","-73.995919","Not Available","West Village                                                               ","1005460011","College/University","594","1008811","151070","None","3.5","3.7","WEST    4 STREET","35","28.2","3.5","3.7","10012"
"Yes","1005460015","1008812","Manhattan","59",,"2","1","486.1","Filed","1","115694","Not Available","83.2","40.729651","-73.995068","27.16","West Village                                                               ","1005460015","Multifamily Housing","595","1008812","134387","ABS","57.7","74.8","WASHINGTON PLACE","14","569.3","57.5","74.6","10003"
"No","1005460026","1008814","Manhattan","59",,"2","1","0","Filed","1","56684","Not Available","211.1","40.728978","-73.995378","Not Available","West Village                                                               ","1005460026","College/University","598","1008814","73913","None","35.1","110.2","WEST    4 STREET","21","211.1","35.1","110.2","10012"
"Yes","1005460031","1008816","Manhattan","57",,"2","1","0.1","Filed","1","54725","Not Available","468.4","40.729201","-73.994155","6.39","West Village                                                               ","1005460031","College/University","599","1008816;1008817;1008818","258686","ABS","22.3","69.9","WASHINGTON PLACE","4","468.5","22.3","69.9","10003"
"No","1005470001","1008820","Manhattan","59",,"2","1","0","Filed","1","180000","Not Available","116.9","40.730546","-73.995237","Not Available","West Village                                                               ","1005470001","College/University","600","1008820","258155","None","5.6","17.5","WAVERLY PLACE","32","116.9","5.6","17.5","10003"
"No","1005470005","1008822","Manhattan","59",,"2","1","0","Filed","1","53482","Not Available","0","40.730398","-73.994938","Not Available","West Village                                                               ","1005470005","College/University","601","1008822","60329","None","0","0","WAVERLY PLACE","24","0","0","0","10003"
"Yes","1005470008","1008823","Manhattan","59",,"2","1","0","Filed","1","91402","Not Available",,"40.72984","-73.995418","Not Available","West Village                                                               ","1005470008","College/University","602","1008823","124526","None",,,"WASHINGTON PLACE","23",,"Not Available","Not Available","10003"
"Yes","1005470020","1008828","Manhattan","59",,"2","1","243.5","Filed","1","71270","Not Available","47.3","40.729618","-73.994963","Not Available","West Village                                                               ","1005470020","Multifamily Housing","603","1008828","73733","ABS","52","69.3","WASHINGTON PLACE","15","290.8","52","69.3","10003"
"No","1005480001","1008832","Manhattan","59",,"2","1","1418.4","Filed","1","218985","Not Available","491.2","40.730785","-73.995486","Not Available","West Village                                                               ","1005480001","Multifamily Housing","606","1008832","227154","None","112.9","171.1","UNIVERSITY PLACE","1","1909.6","Not Available","Not Available","10003"
"Yes","1005480009","1008833","Manhattan","59",,"2","1","0","Filed","1","55224","Not Available","408.6","40.731265","-73.99506","40.16","West Village                                                               ","1005480009","College/University","608","1008833","69021","ABS","72.8","228.5","UNIVERSITY PLACE","13","408.6","73","229.1","10003"
"No","1005480004","1080105","Manhattan","59",,"2","1","131.8","Filed","1","116237","Not Available",,"40.730925","-73.995364","Not Available","West Village                                                               ","1005480004","Residence Hall/Dormitory","607","1008835","209364","None",,,"UNIVERSITY PLACE","5",,"Not Available","Not Available","10003"
"N/A","1-00548-0024",,"Manhattan",,,,,"412.5","Not on Covered Buildings List",,,"Not Available","136.8",,,"Not Available",,"1005480024","Multifamily Housing","14883","1008836;1084933","86322","None","92.9","136.6",,,"549.3","92.6","136.3",
"No","1005480028","1008837","Manhattan","59",,"2","1","594.8","Filed","1","100591","Not Available","161.9","40.731119","-73.993686","Not Available","West Village                                                               ","1005480028","Multifamily Housing","609","1008837","100581","None","98.5","141.6","EAST    8 STREET","50","756.7","98.5","141.7","10003"
"N/A","1-00698-0001",,"Manhattan",,,,,"463.8","Not on Covered Buildings List",,,"71","608.4",,,"Not Available",,"1006980001","Office","14902","1012389","224609","None","61.1","132.6",,,"1072.2","61.2","132.8",
"Yes","1005480040","1008838","Manhattan","59",,"2","1","450.1","Filed","1","80896","Not Available","210.2","40.730041","-73.994173","87.17","West Village                                                               ","1005480040","Multifamily Housing","610","1008838","82500","None","104.6","172.4","WAVERLY PLACE","11","660.3","Not Available","Not Available","10003"
"No","1-00548-0045","1008839","Manhattan","59",,"2","1","0","Filed","1","102024","Not Available","284.7","40.730129","-73.99435","Not Available","West Village                                                               ","1005480045","Multifamily Housing","611","1008839","116599","Manual","30","94.2","WAVERLY PLACE","15","284.7","29.6","92.9","10003"
"Yes","1005480070","1008840","Manhattan","57",,"2","1","3171","Filed","1","455959","Not Available","413.1","40.730458","-73.99365","60.48","West Village                                                               ","1005480070","Multifamily Housing","612","1008840","461959","ABS","103.9","128.6","MERCER STREET","300","3584.1","103","127.7","10003"
"No","1-00550-0022","1008847","Manhattan","59",,"2","1","1298.1","Filed","1","238923","Not Available","502.2","40.731913","-73.996587","Not Available","West Village                                                               ","1005500022","Multifamily Housing","614","1008847;1077873","238923","None","100.8","157.2","5 AVENUE","1","1800.3","100.5","157","10003"
"No","1-00551-0001","1008850","Manhattan","63",,"2","1","2021.2","Filed","1","469263","Not Available","670.7","40.731921","-73.996608","Not Available","West Village                                                               ","1005510001","Multifamily Housing","615","1008850","483340","None","72.6","109.6","5 AVENUE","2","2691.9","71.8","108.6","10011"
"No","1005520022","1008875","Manhattan","65",,"2","1","47.7","Filed","1","133239","92","368","40.731545","-73.999192","Not Available","West Village                                                               ","1005520022","Residence Hall/Dormitory","616","1008875","182714","None","29.7","82.9","WASHINGTON SQUARE W","33","415.7","29.7","83","10011"
"Yes","1005520026","1008877","Manhattan","65",,"2","1","188.8","Filed","1","110447","Not Available","53.5","40.73127","-73.999423","21.5","West Village                                                               ","1005520026","Multifamily Housing","617","1008877","120079","ABS","26.7","38.6","WASHINGTON SQUARE W","37","242.3","26.7","38.6","10011"
"N/A","1009690001",,"Manhattan",,,,,"0","Not on Covered Buildings List",,,"Not Available",,,,"Not Available",,"1009690001","Office","14997","1022547;1022548","99557","None",,,,,,"Not Available","Not Available",
"Yes","1006990005","1012403","Manhattan","99",,"4","3","327.3","Filed","1","97200","Not Available","246.2","40.750893","-74.003934","14.13","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1006990005","Other","841","1012403","97180","ABS","76.5","143.6","WEST   27 STREET","547","573.5","76.2","142.7","10001"
"Yes","1005520060","1008892","Manhattan","65",,"2","1","885.8","Filed","1","128601","Not Available","51","40.731822","-73.998957","21.29","West Village                                                               ","1005520060","Multifamily Housing","618","1008892","140797","ABS","88.1","98.5","WASHINGTON SQUARE W","29","936.8","87.7","98.1","10011"
"Yes","1005520062","1008894","Manhattan","65",,"2","1","231.8","Filed","1","60583","Not Available",,"40.731817","-73.999271","20.82","West Village                                                               ","1005520062","Multifamily Housing","619","1008894","64622","ABS",,,"WASHINGTON SQUARE W","32",,"Not Available","Not Available","10011"
"No","1005527501","1008904","Manhattan","65",,"2","1","147.7","Filed","1","67409","Not Available","210.8","40.732451","-74.000401","43.24","West Village                                                               ","1005527501","Multifamily Housing","620","1008904","67395","Manual","79.7","164.1","AVENUE OF THE AMER","360","358.5","79.5","164","10011"
"No","1005540001",,"Manhattan","57",,"2","2","92","Filed","1","940000","Not Available","5991.1","40.730675","-73.992326","11.18","West Village                                                               ","1005540001","Office","622","1008952","1137698","Manual","64.9","171.8","BROADWAY","756","6083.1","64.7","171.2","10003"
"No","1-00554-0035","1008788","Manhattan","42",,"3","2","0","Filed","1","270183","Not Available","524.7","40.729653","-73.989832","Not Available","East Village                                                               ","1005540035","Office","623","1008953","400000","None","15.5","34.4","3 AVENUE","10","524.7","Not Available","Not Available","10003"
"No","1-00555-0001","1008954","Manhattan","57",,"2","2","2124.8","Filed","1","651391","Not Available","859.9","40.731248","-73.991842","Not Available","West Village                                                               ","1005550001","Multifamily Housing","624","1008954","503960","None","77","122.4","BROADWAY","772","2984.7","76.4","122","10003"
"Yes","1005550028","1008962","Manhattan","42",,"3","2","1190.1","Filed","1","261940","Not Available","456.4","40.730263","-73.989381","49.35","East Village                                                               ","1005550028","Multifamily Housing","625","1008962","255037","ABS","84.6","132.4","3 AVENUE","30","1646.5","83.9","131","10003"
"No","1-00556-0001","1008968","Manhattan","42",,"3","2","797.5","Filed","1","156465","Not Available","355.8","40.731704","-73.990276","Not Available","East Village                                                               ","1005560001","Multifamily Housing","626","1008968","115240","None","133.6","216.3","4 AVENUE","85","1153.3","133.7","216.5","10003"
"N/A","1-00556-0044","1008977","Manhattan","42",,"3","2","497.9","Filed","1","156650","Not Available","386.1","40.732642","-73.990045","Not Available","East Village                                                               ","1005560044","Multifamily Housing","628","1008977","170000","None","82.8","145.3","   4 AVENUE         ","111","884","81","142.5","10003"
"Yes","1005577501","1009006","Manhattan","61",,"2","2","101.4","Filed","1","104722","Not Available","228.7","40.732563","-73.991243","35.07","West Village                                                               ","1005577501","Multifamily Housing","630","1009006","104722","ABS","45.1","103.4","BROADWAY","806","330.1","44.9","102.8","10003"
"Yes","1-00558-7503","1009014","Manhattan","42",,"3","2","266.6","Filed","1","57042","Not Available","163.7","40.732511","-73.989421","Not Available","East Village                                                               ","1005587503","Multifamily Housing","633","1009014","60266","None","116.7","192.3","EAST   12 STREET","125","430.3","116.4","192.1","10003"
"No","1005590012","1009072","Manhattan","42",,"3","2","543.7","Filed","1","216267","45","735.8","40.734122","-73.989179","Not Available","East Village                                                               ","1005590012","Residence Hall/Dormitory","635","1009072","212954","None","90.6","183.9","EAST   14 STREET","106","1279.5","90.5","184.3","10003"
