"automatic_water_benchmarking_eligible","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","community_council","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identificaiton_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"N/A","1010140033",,"Manhattan",,,,,"2207.9","Not on Covered Buildings List",,,"59","7317.1",,,"24.89",,"1010140033","Office","15011","1024686","841709","None","154.9","352.7",,,"9525","154.9","352.7",
"Yes","4002520018",,"Queens",,,,,"1288.5","Filed","1","184400","100","67.7",,,"0.02",,"4002520018","Office","9863","4003447","390400","ABS","46","51","47 AVENUE","32-36","1356.2","46","51","11101"
"Yes","4049560013",,"Queens",,,,,,"Filed","1","59000","Not Available",,,,"106.58",,"4049560013","Multifamily Housing","10923","4112104","70800","ABS",,,"34 ROAD","139-06",,"Not Available","Not Available","11354"
"N/A","4101000001",,"Queens",,,,,,"Not on Covered Buildings List",,,"Not Available",,,,"Not Available",,"4101000001","Office","16122","4215612","400000","None",,,,,,"Not Available","Not Available",
"No",,"3059185","Brooklyn","35",,"2","35",,"No Submission Matched to BBL","1","170000",,,"40.686866","-73.977738",,"Fort Greene                                                                ","3021110015",,"13809",,"#N/A","None",,,"LAFAYETTE AVENUE","30",,,,"11217"
"Yes",,"2018349","Bronx","42902",,"7","11",,"No Submission Matched to BBL","1","52800",,,"40.876018","-73.876091",,"Norwood                                                                    ","2033470010",,"13454",,"#N/A","None",,,"PERRY AVENUE","3260",,,,"10467"
"No","1-00038-0001","1000875","Manhattan","7",,"1","1","0","Filed","1","463664","Not Available",,"40.70497","-74.007084","Not Available","Battery Park City-Lower Manhattan                                          ","1000380001","Office","102","1000875","426531","None",,,"WALL STREET","100",,"Not Available","Not Available","10005"
"Yes","1-00124-0004","1001399","Manhattan","21",,"1","1",,"Filed","1","205000","Not Available",,"40.712792","-74.008217","27.88","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001240004","Office","206","1001399","220624","ABS",,,"PARK PLACE","9",,"Not Available","Not Available","10007"
"N/A","1-01076-0051",,"Manhattan",,,,,,"Not on Covered Buildings List",,,"Not Available","179.3",,,"Not Available",,"1010760051","Hotel","15030","1027001","250000","None",,,,,,"Not Available","Not Available",
"N/A","1-01293-0035",,"Manhattan",,,,,"0","Not on Covered Buildings List",,,"Not Available",,,,"Not Available",,"1012930035","Office","15110","1036067","340574","None",,,,,,"Not Available","Not Available",
"N/A","2002810001",,"Bronx",,,,,,"BBL not valid",,,"Not Available","89.4",,,"Not Available",,"2002810001","Multifamily Housing","12133","2007849","96990","N/A",,,,,,"Not Available","Not Available",
"N/A","3020470004",,"Brooklyn",,,,,"520.4","BBL not valid",,,"Not Available",,,,"Not Available",,"3020470004","Office","12214","3348771","638094","N/A",,,,,,"Not Available","Not Available",
